header,price,note,usable_area,floor_area,floor,energy_effeciency,ownership,description,long,lat,hash,gas,waste,equipment,state,construction_type,place,electricity,heating,transport,year_reconstruction,telecomunication,has_lift,has_garage,has_cellar,no_barriers,has_loggia,has_balcony,has_garden,has_parking,tags,disposition,bus_station_dist,train_station_dist,subway_station_dist,tram_station_dist,post_office_dist,atm_dist,doctor_dist,vet_dist,primary_school_dist,kindergarten_dist,supermarket_grocery_dist,restaurant_pub_dist,playground_dist,sports_field_dist,theatre_cinema_dist,pharmacy_dist,name,date
"Prodej bytu 2+kk 41 m², Hurbanova, Praha, Praha",5149000,,41,,11.0,D,DRUZSTEVNI,"Hledáte pro sebe, nebo na investici slunný byt sprostornou lodžií. V klidné části Prahy 4 s dostatkem zeleně a dobrou dostupností do centra?. Pak právě pro vás mám úžasnou bytovou jednotku 2+kk v DV o celkové užitečné ploše (41m2 v četně lodžie 6,6m2),která se nachází v 11NP panelového domu v ulici Hurbanova. Tento byt prošel nákladnou rekonstrukci s důrazem na kvalitu materiálů a celkový design ( nové rozvody vody, elektřiny - RZ, sádrokartonové podhledy se zabudovaným ledkovým osvětlením, srovnaná podlaha samonivelačňí stěrkou, vyzděné příčky s pouzdrem na dveře do koupelny od firmy Sapeli, položen vinyl, nové štuky a vymalováno). Disponuje malou vstupní chodbou se dvěma vestavěnými skříněmi, které Vám zajistí dostatek úložného prostoru. Z chodby je vstup do vymazlené koupelny se sprchovým koutem, toaletou a přípravou na pračku. Dále pokračujeme do slunného obývacího pokoje s přímým vstupem na zasklenou lodžii (jižní strana), kde si můžete dopřát svou ranní kávu. V obývacím pokoji se nachází kuchyňská linka se spotřebiči, včetně vestavěné lednice s mrazákem, trouby, indukční desky, myčky a mikrovlnné trouby,která končí TV stěnou. V ložnici je velká krásná postel s peřiňáky,která je napojena na skříňky s nikou a ledkovim osvětlením. K bytu náleží komora umístěná v 8NP domu. Samotný panelový dům je ve velmi dobré kondici díky skvěle fungujicimu SVJ, které o objekt a přilehlé okolí pečuje. Lokalita ve které se byt nachází, disponuje veškerou občanskou vybaveností. K atraktivitě lokality přispívá také velmi dobrá dopravní dostupnost do centra (nedaleko autobusová zastávka směr Kačerov metro C) která bude rozšířena stanici metra D docházkové vzdálenosti. Nedaleko se nachází Thomayerova nemocnice a IKEM. Zálohy na služby činí 2017, - kč + elektřina. List vlastnictví čistý. Právní servis spojený s prodejem bytu a úschovy peněz, zajištěn.",14.4528871,50.0242286,,,,CASTECNE,VERY_GOOD,PANEL,"Hurbanova, Praha - Krč",,REMOTE,,,,True,False,True,,True,False,,False,MHD 2 minuty pěšky_Částečně vybaveno_Výtah_Sklep_Lodžie,DISP_2_KK,,,,,782.74,,,,634.01,,276.56,325.26,248.69,382.32,,924.85,breality,2022-10-20
"Prodej bytu 2+kk 58 m², Na Slatince, Praha, Praha",8956000,,58,,4.0,G,UNDEFINED,"Nabízím k prodeji byt 2+kk o velikosti 58 m² se zapuštěnou terasou o velikosti 12 m² , který se nachází ve 4 patře novostavby v lokalitě Praha 10 - Záběhlice., ulice Na Slatince. V tomto bytě je vstupní chodba s vestavěnou šatní skříní, ložnice s dvojlůžkem, šatní skříní a vstupem na terasu. Dále je zde prostorný obývací pokoj rovněž se vstupem na terasu, jehož součástí je plně vybavený kuchyňský kout se zabudovanými elektro spotřebiči (varná deska, trouba, mikrovlnná trouba, myčka na nádobí, lednice, mrazák a digestoř). V obývacím pokoji je obývací stěna vč. tv, jídelním stolem, židlemi a pohodlnou sedačkou. V koupelně je vana, toaleta je samostatná. Po dohodě může být k bytu garážové stání. V okolí je veškerá vybavenost, zastávka MHD 2 minuty od domu. Pro více informací a možnost prohlídky mě kontaktujte na tel.: 722 90 32 32.",14.49164,50.0556,,,,VYBAVENY,NEW,OSTATNI,"Na Slatince, Praha - Záběhlice",,,,,,False,False,False,,False,False,,False,MHD 2 minuty pěšky_Vybaveno_Terasa,DISP_2_KK,,,,,989.88,,,,404.24,,393.41,376.44,382.74,220.06,,412.08,breality,2022-10-20
"Prodej bytu 2+kk 34 m², U Kamýku, Praha, Praha",5000000,,34,,4.0,A,OSOBNI,"Prodám krásný světlý byt o výměře 34m2. Jedná se o 1kk, kde však část na spaní je oddělena sádrokartonovou přepážkou. Byt má komoru s oknem, kde lze prakticky schovat pračku a lednici. Dále v spací části je vchod do šatny, která plně nahrazuje šatní skříň. Kuchyňská linka je velmi důmyslně řešena s velkými horními skříňkami, komínovou digestoří, která je zakryta v horní části. Prostorná koupelna je vybavena sprchovým koutem, umyvadlem a toaletou Geberit. Byt je velmi slunný (okna na východ-jih), skvěle řešený s velkým francouzským oknem a hliníkovým protipožárním oknem. Byt se nachází ve čtvrtém poschodí (5. nadzemní), 30 m od baráku jsou potraviny, autobusové zastávky MHD 30 - 60 m od baráku s autobusy na metro (Kačerov, Želivského, Smíchovské nádraží). Stanice plánované trasy D by měla být cca 500 m od domu. K bytu náleží zděný sklep o výměře 3,1 m2. Volný ihned. Prohlídka možná o víkendech popř. ve všední dny po 17 hod.",14.43519,50.01741,,,,CASTECNE,NEW,OSTATNI,"U Kamýku, Praha - Kamýk",,,,,,True,False,True,,False,False,,False,MHD do minuty pěšky_Částečně vybaveno_Výtah_Sklep,DISP_2_KK,,,,,1064.93,,,,569.71,,211.12,450.94,368.42,466.66,,432.27,breality,2022-10-20
"Prodej bytu 3+1 73 m², Praha, Praha",7500000,,73,,2.0,G,OSOBNI,"Byt 3+1 v osobním vlastnictví o rozloze 73 m2 v 1.patře (2.nadzemní podlaží) s krásnou, velkou lodžií (7m2) přes obývací pokoj i kuchyň.
Budova kompletně a dobře zateplena, prakticky není třeba byt vytápět ani v zimních měsících, čímž se ušetří nemálo peněz za vytápění ústředním topením.
Výtah k dispozici, současně k bytu patří i sklepní kóje (2,5m2).
 
Byt v květnu 2022 prošel celkovou rekonstrukcí:
 
- zcela nové zděné jádro, wc odděleno od koupelny - nová sanita (wc, vana, umyvadlo), nová dlažba i obklady
- zcela nová kuchyňská linka s digestoří, dále se sporákem (plyn hořáky, elektrická trouba), k dispozici samostatně stojící velká lednice a malá myčka
- kompletní výměna všech rozvodů (elektřina, plyn, voda, odpady) na celé ploše bytu, včetně nového rozvaděče a jističů
- nově položené lino na celé ploše bytu
- kompletní servis zdí (seškrábáno na panel, perlinka, štuk a bílá výmalba) na celé ploše bytu
 
Okolí a dostupnost:
 
1 minuta pěšky na metro trasy C - stanice Háje a desítky autobusů
V dochozí vzdálenosti zeleň pro procházky s kočárkem či venčení psů (Milíčovský park i les, Hostivařský les)
Kompletní občanská vybavenost, nákupy i sportovní vyžití
Na dnešní dobu nízké poplatky za užívání bytu
 
Byt je nyní vybaven (skříně, postele, nábytek, částečně elektronika, nádobí) - dle dohody možné využít
 
Ihned k prodeji a ihned k nastěhování.
 
S případnou hypotékou umíme pomoct.",14.52606,50.03108,,,,CASTECNE,VERY_GOOD,PANEL,Praha - Háje,,CENTRAL,,,,True,False,True,,True,False,,False,MHD 1 minuta pěšky_Částečně vybaveno_Výtah_Sklep_Lodžie,DISP_3_1,,,,,493.36,,,,197.27,,133.22,163.56,325.3,313.7,,248.54,breality,2022-10-20
"Prodej bytu 3+kk 84 m², Praha, Praha",8850000,,84,,2.0,C,UNDEFINED,"Nabízíme Vám k prodeji kompletně zařízený byt 3+kk v OV o rozměrech 75,4 m2 + tři balkony (3,3 m2, 2,6 m2 a 2,7 m2). Je umístěn ve 2. patře cihlové novostavby Rezidence Drahobejlova z roku 2014, která se nachází v atraktivní lokalitě na Praze 9 - Libeň, v ulici U Svobodárny.

* K bytu náleží jedno parkovací stání na uzavřeném parkovišti, které je možné dokoupit samostatně, nebo si pronajmout ( ! cena uvedená v inzerátu nezahrnuje parkovací stání). Pokud máte zájem o koupi bytu s parkovacím místem, neváhejte nás kontaktovat pro upřesnění informací.

Dispozici bytu tvoří prostorný obývací pokoj (33 m2) s vybavenou kuchyňskou linkou, z něhož jsou vchody na dva balkony (3,3 m2, 2,6 m2), dvě ložnice (11 m2 a 12 m2), koupelna (6,1 m2) a toaleta s podlahovým vytápěním, samostatná toaleta pro hosty (1,9 m2), praktická komora (1,8 m2), chodba (9,6 m2) a další balkon (2,7 m2) s výhledem do klidného vnitrobloku, který se nachází v jedné z ložnic.
Nábytek lze po dohodě odvézt a byt bude předán prázdný.

Interiér prosvětlují plastová okna s izolačními dvojskly, která orientovaná na sever a jih. Ve všech pokojích jsou dřevěné parkety, v koupelně, toaletách a chodbě je keramická dlažbová podlaha. Topení je ústřední dálkové.

Bytový komplex Rezidence Drahobejlová je realitním projektem roku 2014 a byl vysoce oceněn odbornou porotou.

V Libni se nachází veškerá občanská vybavenost - MŠ, ZŠ, gymnasium Špitálská a J. Seiferta, dětská hřiště, 250 metrů do obchodního centra Galerie Harfa a O2 Arény (5 min. pěšky), různé menší obchody, kavárny a restaurace, 500 metrů do polikliniky Anděl s.r.o. a polikliniky Vysočany (8 min. pěšky), lékárny, parky atd.
Výborná dostupnost na MHD spojení - v blízkosti tramvajové (tramvaje č. 16, 14, 8, 25) a autobusové zastávky, 290 metrů do metra linky B Českomoravská; (9 min. do Můstku), vlakové nádraží Libeň a Vysočany.

 
Mluvíme rusky, česky, anglicky a rádi Vám ukážeme tento krásný byt. 
** Právní servis je zajištěn (včetně podání dokumentů na Katastr Nemovitostí).

!  Jenom přímé zájemce. Nemáme zájem o spolupráci s RK.",14.4889,50.10565,,,,VYBAVENY,NEW,CIHLA,Praha - Libeň,,,,,,True,True,False,,False,True,,True,MHD 1 minuta pěšky_Vybaveno_Výtah_Parkování_Balkón_Garáž,DISP_3_KK,,,,,1011.24,,,,251.92,,41.62,119.64,103.86,278.19,,449.18,breality,2022-10-20
"Prodej bytu 3+kk 77 m², Lindleyova, Praha, Praha",11790000,,77,,5.0,B,UNDEFINED,"Dovolujeme si Vám nabídnout byt v novostavbě z roku 2018 s dispozicí 3+kk v osobním vlastnictví o celkové podlahové ploše 78m2 s balkónem. Byt se nachází v 5. patře v ulici Lindleyova, Praha 6 – Dejvice, v oblíbeném komplexu Rezidence Podbaba.

Jednotka se skládá z obývacího pokoje s novým moderním kuchyňským koutem vč. veškerých spotřebičů ( lednice, myčka, mikrovlnná trouba, indukční varná deska a digestoř – vše kvalitní značka Siemens), místnost je prosvětlena francouzskými okny, jež zajišťují dostatečnou světlost a vstup na balkón, který je orientován do klidného vnitrobloku. Dále ložnice a další pokoj poslouží jako dětský pokoj, či pracovna.

Moderní koupelna s vanou a velkým osvětleným nástěnným zrcadlem vytváří ideální prostor pro zklidnění a relaxaci. Samozřejmostí je samostatné WC. Velmi praktická je technická místnost s důmyslným systémem polic, které vytváří přehledný velký úložný prostor. Podlahové krytiny v bytě tvoří plovoucí podlaha v kombinaci s dlažbou v koupelně, na wc a na chodbě. K jednotce rovněž náleží velká sklepní kóje o rozměrech 7.3m². Cena je evedena bez parkovacích stání. Možnost přikoupit jedno nebo dvě parkovací stání. Každé v hodnotě 550.000 Kč.

Velkou výhodou jsou společné víceúčelové prostory budovy, ve kterých je plánována velká rekonstrukce. Kdy budou využívány na společné či soukromé akce typu různých oslav, v návrhu je i indorové dětské hřiště a fitness zóna.

Bezpečnost sklepů a veřejných prostor je zabezpečena kamerovým systémem.

Byt je orientován na východ a umožňuje tím příjemný začátek dne s vycházejícím sluncem u snídaně. V odpoledních hodinách je poté za stále dobré světelnosti příjemný pobyt na balkoně, bez ostrého přímého slunečního světla. Balkón je orientován do klidného vnitrobloku.

Komplex Rezidence Podbaba je zasazen k vltavskému nábřeží pod zalesněnými kopcem a funkcionalistickou vilovou čtvrti Baba. Představuje kombinaci moderního a současně klidného bydlení s dobrou občanskou vybaveností v okolí. Místo vyniká perfektní dostupností a blízkostí veškerých služeb i parků ( Stromovka, Letná, Šárka).

Vedle vchodu do budovy se nachází kavárna, soukromé fitness a za rohem jogové centrum. Asi 200m od domu je supermarket, lékárna, drogerie a prodejna Kik. Tramvajová zastávka je vzdálena cca 5 minut chůze, vlaková zastávka cca 7 minut. Cesta na nejbližší metro ( stanice Dejvická ) je tramvají 4minuty. Odtud pak trvá cesta do centra města přibližně 10 minut. Podobně snadno se dostanete na letiště Václava Havla, které je podle zvolené dopravy a aktuální situace vzdálené 10 – 20 minut. V blízkosti je sportovní centrum, dětské hřiště nebo tenisové kurty, podél Vltavy vede cyklostezka do Stromovky.

Měsíční zálohy (teplo, voda, úklid, fond oprav..) 5.097 Kč.

Připraven projekt pro zavedení elektronabíječek do garáží.

Průkaz Energetické Náročnosti Budovy třídy B

V případě zájmu nás kontaktujte na bytpodbaba@seznam.cz nebo na tel č +420 731 371 267",14.39095,50.1124,,,,CASTECNE,NEW,OSTATNI,"Lindleyova, Praha - Dejvice",,,,,,True,False,True,,True,True,,True,MHD 5 minut pěšky_Částečně vybaveno_Výtah_Parkování_Balkón_Sklep_Lodžie,DISP_3_KK,,,,,1857.4,,,,810.64,,155.1,387.55,719.55,395.97,,382.72,breality,2022-10-20
"Prodej bytu 2+kk 49 m², Šlikova, Praha, Praha",3990000,,49,,1.0,G,UNDEFINED,"Kontakt na majitele: +420 733 515 102
RK NEVOLAT!

Jako přímý vlastník nabízím k prodeji jednotku v osobním vlastnictví, dispozičně řešenou jako 2+KK o celkové výměře 49 m2 ve sníženém přízemí cihlového domu na pražském Břevnově v ulici Šlikova 1179/24. Jednotka je z jedné strany orientována do tichého vnitrobloku a z druhé strany do boční ulice Liborova.

Samotný činžovní dům je ve velmi dobrém stavu po nákladnější rekonstrukci.

Jednotka je ve stavu ke kompletní rekonstrukci a výhodou je si rekonstrukci zrealizovat dle vlastních představ. Jednotka se skládá z prostorné vstupní chodby s menší komorou, dále dvou samostatných světlých pokojů, koupelny a samostatné toalety.

Jedná se o 4patrovou budovu, s možnostmi bezproblémového parkování přímo před domem, na modré zóně, a s výborným přístupem k veškeré občanské vybavenosti. Dům má skvělou výchozí pozici pro dojíždění kamkoli do Prahy, čtyři stanice tramvají ke stanici metra (stanice Malovanka, tramvaje č. 22, 23 a 25). Pěší vzdálenost ke hradu je 10 minut.

V okolí je kompletní občanská vybavenost. V pěší dostupnosti je supermarket, malé obchody s večerním provozem, škola (5 min.), nemocnice (10 min.), sportovně-rekreační areál Ladronka (5 min., dětská hřiště, in-line stezky, sportovní hřiště, restaurace).

Jednotka je kolaudována jako nebytový prostor (dílna nebo provozovna), nicméně vzhledem k dispozici a umístění je možnost rekolaudace na lepší právní stav (ateliér, ubytovací jednotka či bytová jednotka).

Vzhledem k poloze je jednotka ideální pro vlastní bydlení, kancelář či na investiční pronájem.

Hypoteční úvěr na tuto nemovitost je možný.",14.37602,50.08361,,,,NEVYBAVENY,BAD,CIHLA,"Šlikova, Praha - Břevnov",,,,,,False,False,False,,False,False,,False,MHD 2 minuty pěšky,DISP_2_KK,,,,,983.15,,,,244.74,,138.41,40.14,350.47,298.2,,330.89,breality,2022-10-20
"Prodej bytu 3+1 69 m², Praha, Praha",6350000,,69,,4.0,G,DRUZSTEVNI,"Nabízíme k prodeji byt 3+1 v družstevním vlastnictví, v klidné lokalitě Prahy 4 Braník. Byt se nachází ve 4. patře cihlového domu na konci slepé ulice plné zeleně a klidu. Bytová jednotka se skládá z kuchyně, chodby kde je vlastní plynový kotel, dvou pokojů z jednoho vstup na balkon, obývací pokoj, koupelna a wc jsou odděleně, komora. K bytu náleží sklep. Před domem možnost bezproblémového parkování. Byt má kompletně splacenou jistinu - anuitu.  Výhledově bude probíhat jednání na převod do OV. Výborná dostupnost na Bus, Metro i tramvaj. Nízké poplatky za bydlení. V okolí veškerá občanská vybavenost, škola, školka, obchod, pošta, lékárna, lékař, atd.
V případě jakýchkoliv informací jsem Vám plně k dispozici na telefonu 725 358 379.",14.42405,50.03514,,,,CASTECNE,GOOD,CIHLA,Praha - Braník,,,,,,True,False,True,,False,True,,True,MHD 2 minuty pěšky_Částečně vybaveno_Výtah_Parkování_Balkón_Sklep,DISP_3_1,,,,,1128.77,,,,962.41,,659.62,366.66,101.53,932.47,,738.61,breality,2022-10-20
"Prodej bytu 2+1 51 m², Praha, Praha",5070000,,51,,4.0,G,OSOBNI,"Byt 2+1 (OV) v Libni – lze i jako investice
Prodáme zrekonstruovaný byt v osobním vlastnictví, který je v současném stavu vhodný k bydlení i pronájmu (částečně vybaven – vestavěná ložnice, kuchyň). Dispozice je 2+1;  50,5 m2  (prostorově architektem upravená původní dispozice)
Bytová jednotka 2+1 je umístěna ve 4. NP (1. patro). Jedná se o středový byt, s okny do tichého vnitrobloku (pro majitele bytu možnost parkování) i Sokolovské ulice. Ze společné chodby se vstupuje do předsíně, z ní jsou přístupné kuchyň, obývací pokoj, koupelna s vanou a WC. Obývací pokoj je průchozí do ložnice. Okna jsou plastová s dvojsklem. Do bytu je zavedena elektrika i plyn (plynový sporák).
V bytě byla v roce 2015 provedena celková rekonstrukce – změna původní dispozice bytu, nové rozvody ZTI, elektřiny, nové povrchy podlah, nové povrchů stěn, nové vnitřní dveře, SDK podhledy stropů s vestaveným ozvučením. V bytě je nově instalovaná kuchyňská linka se spotřebiči (pračka, lednička s mrazákem, myčka, plynový sporák s el. troubou). Na míru vestavěný nábytek ložnice s velkým úložným prostorem.
V domě byla provedena oprava střechy, výměna rozvodů ZTI ve společných prostorách, nový výtah.
K bytu patří i spoluvlastnictví velkého množství nebytových prostorů „BD Balabenka“, ze kterých plyne pro vlastníka příjem.
Fond oprav ve výši 510,- Kč/měsíc, ostatní „aktuálně navýšené“ zálohové platby (bez elektřiny) ve výši 3.265,- Kč/měsíc.
Prohlídky bytu jsou možné na základě telefonické dohody – prosíme pouze přímé zájemce.
Výborná dopravní dostupnosti – tramvaj, metro C. Místo nabízí kompletní občanskou vybavenost v nejbližším okolí – nákupní centrum Galerie Harfa, O2 arena, poliklinika/nemocnice, základní školy a mateřské školky, pošta.
NEMÁME ZÁJEM O ZPROSTŘEDKOVÁNÍ PRODEJE REALITNÍ KANCELÁŘÍ",14.4852,50.10539,,,,CASTECNE,VERY_GOOD,CIHLA,Praha - Libeň,,,,,,True,False,False,,False,False,,True,MHD 2 minuty pěšky_Částečně vybaveno_Výtah_Parkování,DISP_2_1,,,,,691.57,,,,213.37,,57.79,118.22,167.78,476.6,,537.79,breality,2022-10-20
"Prodej bytu 3+1 78 m², Praha, Praha",7000000,,78,,5.0,C,UNDEFINED,"Prodej družstevního podílu v Bytovém družstvu Mrkvičkova 1361 až 1369, se kterým je spojeno právo nájmu družstevního bytu 3+1/lodžie, 70,60 m2, lodžie cca 7 m2, sklepní koje, v ulici Mrkvičkova 1366/7, včetně možnosti převodu bytové jednotky do osobního vlastnictví. Kupujícím může být jak fyzická, tak právnická osoba.

Člen bytového družstva (prodávající) nabízí k prodeji družstevní podíl, se kterým je spojeno právo nájmu družstevního bytu v 5. NP domu (z 6. NP), výlučné užívání lodžie a sklepní koje v 1. PP domu. Po splacení anuity ve výši cca 525.000,- Kč je možný převod družstevního bytu jako již v katastru nemovitostí zapsané bytové jednotky do osobního vlastnictví. Anuita je dosud splácena v měsíčních splátkách ve výši 6.441,- Kč. Byt je pěkný a slunný, orientace 2 pokojů na sever, kuchyně a obývací pokoj s lodžií na jih. Dům prochází kompletní revitalizací svého pláště. Již jsou nová plastová okna, nové plastové stoupačky, nové vchodové dveře do domu, poštovní schránky, zvonky a čipový systém. Vstupní dveře do bytu jsou bezpečnostní. Byt je převážně v původním stavu, bytové jádro umakartové polepené. WC je oddělené, v koupelně je vana. Kuchyňská linka je nová s vestavnými spotřebiči a sklokeramickou varnou deskou. Měsíční poplatky související s užíváním bytu jsou 6.992,- Kč. Parkování bez problémů v okolí domu. Velmi dobrá občanská vybavenost v přímém okolí a rovněž velmi dobrá dopravní dostupnost do centra Prahy. Byt je ihned volný. Realitní kanceláře ani realitní makléři PROSÍM nevolat a nepsat. Nemám zájem o žádnou spolupráci ani sdílení inzerátu. Děkuji za pochopení. Cena za převod družstevního podílu: 7.000.000,- Kč. Veškeré poplatky související s převodem a úschovou jsou již zahrnuty v ceně. Preferováno je financování z vlastních zdrojů kupujícího a v případě více nabídek je výběr kupujícího výhradně na prodávajícím družstevního podílu.",14.31817,50.06657,,,,NEVYBAVENY,GOOD,PANEL,Praha - Řepy,,CENTRAL,,,,True,False,True,,True,False,,False,MHD 5 minut pěšky_Výtah_Sklep_Lodžie,DISP_3_1,,,,,839.98,,,,443.97,,735.25,943.84,86.87,986.63,,816.33,breality,2022-10-20
"Prodej bytu 2+1 63 m², Praha, Praha",7090000,,63,,3.0,G,UNDEFINED,"Dovolujeme si Vám nabídnout byt o dispozici 2+1 s celkovou výměrou 64 m2 (bytová plocha 62,6m2 + balkon 2m2 + sklep 4m2) v atraktivní pražské čtvrti - Vršovice.

Veškerá občanská vybavenost je na dosah ruky. Přímo přes ulici stojí Tesco a v docházkové vzdálenosti je Vinohradská nemocnice a nákupní centrum Eden. Do centra města se dostanete do 15 minut díky dostupné MHD (k dispozici autobusy - Bělocerkevská a Volyňská, tramvaje - Slavia i nedaleké metro - Želivského). Přímo za domem se nachází zeleň a hřiště.

Všechny pokoje jsou propojené prostrannou chodbou s vestavěnou skříní. Z chodby vychází ložnice, obývák, samostatná kuchyně a WC a větší kuchyně, která prošla rekonstrukcí kuchyně v minulém roce. Ke kuchyni náleží také malá komora (cca 0,5 m2). Podlahu ložnice a obýváku tvoří dřevěné parkety. Vytápění bytu je podlahové, centrální. Elektrické rozvody jsou v mědi.

Bytová jednotka se nachází v 2. patře 6-ti podlažního bytového domu s výtahem. Orientace bytu je převážně na východ. Ložnice je orientovaná na sever

Poplatky spojené s užíváním bytu jsou ve výši 6890Kč + elektřina a plyn.

Bez provize RK.

Volejte 703 575 372.",14.47029,50.07238,,,,CASTECNE,VERY_GOOD,CIHLA,Praha - Vršovice,,,,,,True,False,True,,False,True,,False,MHD do minuty pěšky_Částečně vybaveno_Výtah_Balkón_Sklep,DISP_2_1,,,,,521.57,,,,211.15,,102.89,253.53,116.09,662.49,,541.13,breality,2022-10-20
"Prodej bytu 3+kk 76 m², Chalabalova, Praha, Praha",7590000,,76,,2.0,C,OSOBNI,"Nabízím krásný udržovaný byt 3+KK v OV o výměře 76 m2 s terasou v žádané lokalitě Stodůlek s vynikající občanskou vybaveností a dobrou dopravní dostupnosti. Byt je vybaven kuchyňskou linkou do “U” s vestavěnými spotřebiči. V bytě jsou kvalitní okna, dlažba, plovoucí podlaha. Topení a ohřev vody zajišťuje samostatný kombinovaný kotel. V nedaleké vzdálenosti 2 min. pešky je autobusová zastávka s napojením na linku metra B. Ihned k nastěhování. K bytu naleží vyhrazené venkovní parkovací stání. Kontakt na majitele: 603 330 473, RK NEVOLAT.",14.3162491,50.0526192,,,,CASTECNE,VERY_GOOD,CIHLA,"Chalabalova, Praha - Stodůlky",,OTHER,,,,False,False,False,,False,False,20.0,True,MHD 3 minuty pěšky_Částečně vybaveno_Parkování_Terasa,DISP_3_KK,,,,,1124.08,,,,698.1,,967.52,948.26,149.56,633.65,,963.81,breality,2022-10-20
"Prodej bytu 1+kk 28 m², Praha, Praha",3600000,,28,,2.0,,OSOBNI,"Prodám byt pár kroků od metra Palmovka. Byt se nachází v druhém patře rohového domu na tichém místě ulice Na kopečku. Dům byl částečně rekonstruován v roce 2017 (zateplení, fasáda, výměna oken). V domě je výtah a k bytu patří i velký sklep. Byt je koncipován jako 1+kk s předsíní.
Výška stropu v předsíni je 3,5 metrů tudíž nabízí mnoho úložného prostoru. V hlavní místnosti jsou renovované parkety, v ostatních částech bytu je dlažba.Celková výměra bytu je 23,5metrů čtverečních, sklep má 4 metry čtvereční. Vchod do sklepa je zabezpečen mříží na zámek a dveřmi na zámek. V bytě je zavedena voda, elektrika, plyn. Plyn momentálně nevyužíváme. Okna jsou nová z roku 2017, mířící do klidné ulice Na kopečku. Odhadní cena nemovitosti provedená certifikovaným znalcem v oboru z července 2022 je identická jako cena prodejní. Odhad můžeme zájemci předložit.
Kontaktovalo mne během jednoho dne 10 realitních kanceláří. Prosím už to nedělejte, nepotřebuji Vás. Spolupracuji s advokátní kanceláří, která mi plně stačí k vytvoření kupní smlouvy. Ukazuji byt v jeho realitě. Nepotřebuji od Vás žádný “homestaging”, pěkné fotky ani jiné “vychytávky”. Děkuji za pochopení.",14.4713,50.09974,,,,CASTECNE,VERY_GOOD,CIHLA,Praha - Libeň,,ELECTRIC,,,,True,False,True,,False,False,,False,MHD 4 minuty pěšky_Částečně vybaveno_Výtah_Sklep,DISP_1_KK,,,,,587.7,,,,479.59,,398.73,228.17,608.89,310.85,,656.06,breality,2022-10-20
"Prodej bytu 3+kk 108 m², Podolská, Praha, Praha",13990000,,108,,4.0,G,OSOBNI,"Prodám prostorný byt  108m2 , 3+KK s lodžií na Podolském Nábřeží  , s nádherným výhledem na Vltavu a Vyšehrad. Byt prošel nedávno kompletní rekonstrukcí (nové podlahy, omítky, elektro rozvody, radiátory, SDK podhledy, nová dřevěná okna s 3skly, nové podlahy, koupelna, nové dveře od Sapeli, kuchyň, vestavěný nábytek, bezpečnostní vchodové dveře). K bytu náleží sklep. Jedná se o klasický cihlový dům v Podolí, dům prochází postupnou údržbou, letos nové stoupačky, příští rok jsou naplánovány opravy balkonů a následně renovace fasády domu.
Místnosti: Obyvák+Kuchyň 33,2m2, Ložnice 1  23m2, Ložnice 2 22,6m2, Komora 1,7m2 , Hala 11,3m2, WC 1,7m2, Koupelna 11,3m2, Lodžie 3m2 
+ Sklepní kóje",14.42005,50.05936,,,,CASTECNE,VERY_GOOD,CIHLA,"Podolská, Praha - Podolí",,CENTRAL,,,,True,False,True,,True,False,,False,MHD 1 minuta pěšky_Částečně vybaveno_Výtah_Sklep_Lodžie,DISP_3_KK,,,,,159.46,,,,312.28,,98.95,51.03,70.37,558.1,,27.07,breality,2022-10-20
"Prodej bytu 3+kk 100 m², Praha, Praha",21487050,,100,,5.0,B,UNDEFINED,"Nabízíme k prodeji zcela nové byty na Smíchově.Jedná se o rezidenční bydlení, bytové domy jsou celkem tři a mají společný vnitroblok, kde jsou parkovací místa.Domy jsou na dvou adresách Na Neklance a Nad Koulkou. Domy mají max 5 pater s výtahem,parkování v garáži, které je řešeno zakladači. Ke každému bytu je přiřazený sklep.Projekt je proveden ve vyšším standardu ...eurookna s treojsklem s přípravou na předokenní rolety,obytné místnosti vinyl click,koupelna+wc velkoformátová dlažba,vchodové dveře do bytu dýha ručně stříkané,interiérové dveře hladké bílé s grafitovým kováním,v koupelně umyvadlo vč. spodní skříňky, vana, závěsné WC zn.Willeroy&Boch,standardy jsou ke stažení na našich stránkách kde najdete i více informací.

 

 

V nabídce je více bytů 2+kk, 3+kk a 3+1

 

 

 

 

 

 

k bytu je nutné dokoupit parkovaní v garáži nebo venku ve vnitrobloku.

 

 

 

 

 

 

byt 3+KK , budova C, 5NP, č.20 - označení na stránkách C5NP20",14.40291,50.06102,,,,NEVYBAVENY,CONSTRUCTION,CIHLA,Praha - Smíchov,,,,,,False,False,False,,False,True,,False,MHD 2 minuty pěšky_Balkón,DISP_3_KK,,,,,722.71,,,,805.67,,253.0,189.73,611.84,932.63,,189.67,breality,2022-10-20
